site,sampler_id,deployed,deployment_days,compound,mass_ng
Middle Malewa,MM-SD1,20 June 2016,30,dieldrin,98.083
Middle Malewa,MM-SD1,20 June 2016,30,pp-DDD,59.8622
Middle Malewa,MM-SD1,20 June 2016,30,heptachlor,35.7603
Middle Malewa,MM-SD1,20 June 2016,30,aldrin,45.5462
Middle Malewa,MM-SD1,20 June 2016,30,pp-DDE,86.2726
Middle Malewa,MM-SD1,20 June 2016,30,pp-DDT,116.7891
Middle Malewa,MM-SD1,20 June 2016,30,HCB,46.9233
Middle Malewa,MM-SD1,20 June 2016,30,cis-chlordane,35.13
Middle Malewa,MM-SD1,20 June 2016,30,trans-chlordane,43.5704
Middle Malewa,MM-SD1,20 June 2016,30,trans-nonachlor,30.1827
Middle Malewa,MM-SD1,20 June 2016,30,mirex,38.3827
Middle Malewa,MM-SD2,20 June 2016,30,endosulfan sulfate,1296.5557
Middle Malewa,MM-SD2,20 June 2016,30,gamma-HCH,1175.7757
Middle Malewa,MM-SD2,20 June 2016,30,beta-HCH,357.6442
Middle Malewa,MM-SD2,20 June 2016,30,alpha-HCH,990.6943
Middle Malewa,MM-SD2,20 June 2016,30,alpha-endosulfan,721.2061
Middle Malewa,MM-SD2,20 June 2016,30,heptachlor epoxide,52.6823
Middle Malewa,MM-SD2,20 June 2016,30,methoxychlor,264.4877
Middle Malewa,MM-SD2,20 June 2016,30,endrin,32.881
Middle Malewa,MM-SD2,20 June 2016,30,dieldrin,101.659
Middle Malewa,MM-SD2,20 June 2016,30,pp-DDD,53.3971
Middle Malewa,MM-SD2,20 June 2016,30,heptachlor,37.8582
Middle Malewa,MM-SD2,20 June 2016,30,aldrin,40.1472
Middle Malewa,MM-SD2,20 June 2016,30,pp-DDE,86.5046
Middle Malewa,MM-SD2,20 June 2016,30,pp-DDT,110.0984
Middle Malewa,MM-SD2,20 June 2016,30,HCB,46.4149
Middle Malewa,MM-SD2,20 June 2016,30,cis-chlordane,36.0752
Middle Malewa,MM-SD2,20 June 2016,30,trans-chlordane,38.5805
Middle Malewa,MM-SD2,20 June 2016,30,trans-nonachlor,29.1333
Middle Malewa,MM-SD2,20 June 2016,30,mirex,40.8421
Middle Malewa,MM-SD3,20 June 2016,30,endosulfan sulfate,1425.4063
Middle Malewa,MM-SD3,20 June 2016,30,gamma-HCH,1231.6641
Middle Malewa,MM-SD3,20 June 2016,30,beta-HCH,375.6593
Middle Malewa,MM-SD3,20 June 2016,30,alpha-HCH,1009.8757
Middle Malewa,MM-SD3,20 June 2016,30,alpha-endosulfan,784.739
Middle Malewa,MM-SD3,20 June 2016,30,heptachlor epoxide,52.2735
Middle Malewa,MM-SD3,20 June 2016,30,methoxychlor,254.4322
Middle Malewa,MM-SD3,20 June 2016,30,endrin,38.1005
Middle Malewa,MM-SD3,20 June 2016,30,dieldrin,98.9669
Middle Malewa,MM-SD3,20 June 2016,30,pp-DDD,54.7397
Middle Malewa,MM-SD3,20 June 2016,30,heptachlor,38.2118
Middle Malewa,MM-SD3,20 June 2016,30,aldrin,44.3822
Middle Malewa,MM-SD3,20 June 2016,30,pp-DDE,82.2514
Middle Malewa,MM-SD3,20 June 2016,30,pp-DDT,128.5788
Middle Malewa,MM-SD3,20 June 2016,30,HCB,52.2864
Middle Malewa,MM-SD3,20 June 2016,30,cis-chlordane,34.0995
Middle Malewa,MM-SD3,20 June 2016,30,trans-chlordane,42.6273
Middle Malewa,MM-SD3,20 June 2016,30,trans-nonachlor,27.7911
Middle Malewa,MM-SD3,20 June 2016,30,mirex,40.4795
Lake Naivasha,LN-SD1,20 June 2016,30,endosulfan sulfate,542.9923
Lake Naivasha,LN-SD1,20 June 2016,30,gamma-HCH,150.6537
Lake Naivasha,LN-SD1,20 June 2016,30,beta-HCH,102.1815
Lake Naivasha,LN-SD1,20 June 2016,30,alpha-HCH,202.8467
Lake Naivasha,LN-SD1,20 June 2016,30,alpha-endosulfan,41.2372
Lake Naivasha,LN-SD1,20 June 2016,30,heptachlor epoxide,15.4535
Lake Naivasha,LN-SD1,20 June 2016,30,methoxychlor,13.4621
Lake Naivasha,LN-SD1,20 June 2016,30,endrin,7.9836
Lake Naivasha,LN-SD1,20 June 2016,30,dieldrin,18.4804
Lake Naivasha,LN-SD1,20 June 2016,30,pp-DDD,21.9936
Lake Naivasha,LN-SD1,20 June 2016,30,heptachlor,5.9544
Lake Naivasha,LN-SD1,20 June 2016,30,aldrin,3.4042
Lake Naivasha,LN-SD1,20 June 2016,30,pp-DDE,49.1223
Lake Naivasha,LN-SD1,20 June 2016,30,pp-DDT,9.8224
Lake Naivasha,LN-SD1,20 June 2016,30,HCB,11.5431
Lake Naivasha,LN-SD1,20 June 2016,30,cis-chlordane,7.2363
Lake Naivasha,LN-SD1,20 June 2016,30,trans-chlordane,8.4844
Lake Naivasha,LN-SD1,20 June 2016,30,trans-nonachlor,6.5907
Lake Naivasha,LN-SD1,20 June 2016,30,mirex,6.4427
Lake Naivasha,LN-SD2,20 June 2016,30,endosulfan sulfate,631.7882
Lake Naivasha,LN-SD2,20 June 2016,30,gamma-HCH,171.7215
Lake Naivasha,LN-SD2,20 June 2016,30,beta-HCH,94.1825
Lake Naivasha,LN-SD2,20 June 2016,30,alpha-HCH,210.1843
Lake Naivasha,LN-SD2,20 June 2016,30,alpha-endosulfan,38.1108
Lake Naivasha,LN-SD2,20 June 2016,30,heptachlor epoxide,14.0786
Lake Naivasha,LN-SD2,20 June 2016,30,methoxychlor,13.0395
Lake Naivasha,LN-SD2,20 June 2016,30,endrin,8.9286
Lake Naivasha,LN-SD2,20 June 2016,30,dieldrin,17.9527
Lake Naivasha,LN-SD2,20 June 2016,30,pp-DDD,21.74
Lake Naivasha,LN-SD2,20 June 2016,30,heptachlor,6.2509
Lake Naivasha,LN-SD2,20 June 2016,30,aldrin,3.5666
Lake Naivasha,LN-SD2,20 June 2016,30,pp-DDE,50.6752
Lake Naivasha,LN-SD2,20 June 2016,30,pp-DDT,11.1325
Lake Naivasha,LN-SD2,20 June 2016,30,HCB,12.1456
Lake Naivasha,LN-SD2,20 June 2016,30,cis-chlordane,6.2525
Lake Naivasha,LN-SD2,20 June 2016,30,trans-chlordane,8.2376
Lake Naivasha,LN-SD2,20 June 2016,30,trans-nonachlor,6.3976
Lake Naivasha,LN-SD2,20 June 2016,30,mirex,7.1479
Lake Naivasha,LN-SD3,20 June 2016,30,endosulfan sulfate,608.483
Lake Naivasha,LN-SD3,20 June 2016,30,gamma-HCH,178.3099
Lake Naivasha,LN-SD3,20 June 2016,30,beta-HCH,101.3536
Lake Naivasha,LN-SD3,20 June 2016,30,alpha-HCH,218.8097
Lake Naivasha,LN-SD3,20 June 2016,30,alpha-endosulfan,42.0734
Lake Naivasha,LN-SD3,20 June 2016,30,heptachlor epoxide,14.8248
Lake Naivasha,LN-SD3,20 June 2016,30,methoxychlor,14.198
Lake Naivasha,LN-SD3,20 June 2016,30,endrin,8.3418
Lake Naivasha,LN-SD3,20 June 2016,30,dieldrin,18.3514
Lake Naivasha,LN-SD3,20 June 2016,30,pp-DDD,23.93
Lake Naivasha,LN-SD3,20 June 2016,30,heptachlor,6.0549
Lake Naivasha,LN-SD3,20 June 2016,30,aldrin,3.4099
Lake Naivasha,LN-SD3,20 June 2016,30,pp-DDE,48.3147
Lake Naivasha,LN-SD3,20 June 2016,30,pp-DDT,9.9207
Lake Naivasha,LN-SD3,20 June 2016,30,HCB,11.7061
Lake Naivasha,LN-SD3,20 June 2016,30,cis-chlordane,6.5033
Lake Naivasha,LN-SD3,20 June 2016,30,trans-chlordane,7.4018
Lake Naivasha,LN-SD3,20 June 2016,30,trans-nonachlor,6.1032
Lake Naivasha,LN-SD3,20 June 2016,30,mirex,6.3817
