site,sampler_id,deployed,deployment_days,prc,mass_ng
Upper Malewa,UM-C3,30 June 2016,20,PCB104,105.947
Upper Malewa,UM-C3,30 June 2016,20,PCB078,119.014
Upper Malewa,UM-C3,30 June 2016,20,PCB145,116.367
Upper Malewa,UM-C3,30 June 2016,20,PCB204,110.599
Upper Malewa,UM-D1,20 June 2016,30,BIP-D10,3.017
Upper Malewa,UM-D1,20 June 2016,30,PCB001,3.738
Upper Malewa,UM-D1,20 June 2016,30,PCB002,2.798
Upper Malewa,UM-D1,20 June 2016,30,PCB003,6.566
Upper Malewa,UM-D1,20 June 2016,30,PCB010,4.889
Upper Malewa,UM-D1,20 June 2016,30,PCB014,11.103
Upper Malewa,UM-D1,20 June 2016,30,PCB030,24.923
Upper Malewa,UM-D1,20 June 2016,30,PCB021,34.318
Upper Malewa,UM-D1,20 June 2016,30,PCB050,68.137
Upper Malewa,UM-D1,20 June 2016,30,PCB055,92.105
Upper Malewa,UM-D1,20 June 2016,30,PCB104,108.194
Upper Malewa,UM-D1,20 June 2016,30,PCB078,106.99
Upper Malewa,UM-D1,20 June 2016,30,PCB145,115.959
Upper Malewa,UM-D1,20 June 2016,30,PCB204,114.425
Upper Malewa,UM-D2,20 June 2016,30,BIP-D10,3.491
Upper Malewa,UM-D2,20 June 2016,30,PCB001,3.359
Upper Malewa,UM-D2,20 June 2016,30,PCB002,4.999
Upper Malewa,UM-D2,20 June 2016,30,PCB003,5.35
Upper Malewa,UM-D2,20 June 2016,30,PCB010,4.482
Upper Malewa,UM-D2,20 June 2016,30,PCB014,9.1
Upper Malewa,UM-D2,20 June 2016,30,PCB030,26.115
Upper Malewa,UM-D2,20 June 2016,30,PCB021,31.621
Upper Malewa,UM-D2,20 June 2016,30,PCB050,80.841
Upper Malewa,UM-D2,20 June 2016,30,PCB055,92.961
Upper Malewa,UM-D2,20 June 2016,30,PCB104,98.928
Upper Malewa,UM-D2,20 June 2016,30,PCB078,105.982
Upper Malewa,UM-D2,20 June 2016,30,PCB145,113.338
Upper Malewa,UM-D2,20 June 2016,30,PCB204,111.418
Upper Malewa,UM-D3,20 June 2016,30,BIP-D10,2.768
Upper Malewa,UM-D3,20 June 2016,30,PCB001,3.379
Upper Malewa,UM-D3,20 June 2016,30,PCB002,2.77
Upper Malewa,UM-D3,20 June 2016,30,PCB003,4.262
Upper Malewa,UM-D3,20 June 2016,30,PCB010,4.157
Upper Malewa,UM-D3,20 June 2016,30,PCB014,9.931
Upper Malewa,UM-D3,20 June 2016,30,PCB030,22.427
Upper Malewa,UM-D3,20 June 2016,30,PCB021,28.833
Upper Malewa,UM-D3,20 June 2016,30,PCB050,73.294
Upper Malewa,UM-D3,20 June 2016,30,PCB055,91.281
Upper Malewa,UM-D3,20 June 2016,30,PCB104,95.898
Upper Malewa,UM-D3,20 June 2016,30,PCB078,104.329
Upper Malewa,UM-D3,20 June 2016,30,PCB145,118.249
Upper Malewa,UM-D3,20 June 2016,30,PCB204,124.203
Middle Malewa,MM-A1,17 July 2016,3,BIP-D10,2.887
Middle Malewa,MM-A1,17 July 2016,3,PCB001,3.926
Middle Malewa,MM-A1,17 July 2016,3,PCB002,13.913
Middle Malewa,MM-A1,17 July 2016,3,PCB003,8.053
Middle Malewa,MM-A1,17 July 2016,3,PCB010,24.359
Middle Malewa,MM-A1,17 July 2016,3,PCB014,68.357
Middle Malewa,MM-A1,17 July 2016,3,PCB030,92.276
Middle Malewa,MM-A1,17 July 2016,3,PCB021,89.964
Middle Malewa,MM-A1,17 July 2016,3,PCB050,107.025
Middle Malewa,MM-A1,17 July 2016,3,PCB055,124.974
Middle Malewa,MM-A1,17 July 2016,3,PCB104,110.872
Middle Malewa,MM-A1,17 July 2016,3,PCB078,126.111
Middle Malewa,MM-A1,17 July 2016,3,PCB145,120.871
Middle Malewa,MM-A1,17 July 2016,3,PCB204,133.56
Middle Malewa,MM-A2,17 July 2016,3,BIP-D10,3.131
Middle Malewa,MM-A2,17 July 2016,3,PCB001,4.434
Middle Malewa,MM-A2,17 July 2016,3,PCB002,12.196
Middle Malewa,MM-A2,17 July 2016,3,PCB003,8.824
Middle Malewa,MM-A2,17 July 2016,3,PCB010,25.887
Middle Malewa,MM-A2,17 July 2016,3,PCB014,61.859
Middle Malewa,MM-A2,17 July 2016,3,PCB030,87.109
Middle Malewa,MM-A2,17 July 2016,3,PCB021,88.263
Middle Malewa,MM-A2,17 July 2016,3,PCB050,110.549
Middle Malewa,MM-A2,17 July 2016,3,PCB055,109.89
Middle Malewa,MM-A2,17 July 2016,3,PCB104,120.251
Middle Malewa,MM-A2,17 July 2016,3,PCB078,108.714
Middle Malewa,MM-A2,17 July 2016,3,PCB145,118.256
Middle Malewa,MM-A2,17 July 2016,3,PCB204,130.659
Middle Malewa,MM-A3,17 July 2016,3,BIP-D10,2.366
Middle Malewa,MM-A3,17 July 2016,3,PCB001,4.319
Middle Malewa,MM-A3,17 July 2016,3,PCB002,12.162
Middle Malewa,MM-A3,17 July 2016,3,PCB003,8.962
Middle Malewa,MM-A3,17 July 2016,3,PCB010,24.049
Middle Malewa,MM-A3,17 July 2016,3,PCB014,76.231
Middle Malewa,MM-A3,17 July 2016,3,PCB030,88.937
Middle Malewa,MM-A3,17 July 2016,3,PCB021,83.459
Middle Malewa,MM-A3,17 July 2016,3,PCB050,117.399
Middle Malewa,MM-A3,17 July 2016,3,PCB055,124.28
Middle Malewa,MM-A3,17 July 2016,3,PCB104,113.644
Middle Malewa,MM-A3,17 July 2016,3,PCB078,123.105
Middle Malewa,MM-A3,17 July 2016,3,PCB145,120.118
Middle Malewa,MM-A3,17 July 2016,3,PCB204,134.793
Middle Malewa,MM-B1,10 July 2016,10,BIP-D10,3.853
Middle Malewa,MM-B1,10 July 2016,10,PCB001,4.158
Middle Malewa,MM-B1,10 July 2016,10,PCB002,3.055
Middle Malewa,MM-B1,10 July 2016,10,PCB003,4.011
Middle Malewa,MM-B1,10 July 2016,10,PCB010,4.201
Middle Malewa,MM-B1,10 July 2016,10,PCB014,19.377
Middle Malewa,MM-B1,10 July 2016,10,PCB030,35.906
Middle Malewa,MM-B1,10 July 2016,10,PCB021,43.478
Middle Malewa,MM-B1,10 July 2016,10,PCB050,87.834
Middle Malewa,MM-B1,10 July 2016,10,PCB055,105.773
Middle Malewa,MM-B1,10 July 2016,10,PCB104,95.647
Middle Malewa,MM-B1,10 July 2016,10,PCB078,113.793
Middle Malewa,MM-B1,10 July 2016,10,PCB145,123.347
Middle Malewa,MM-B1,10 July 2016,10,PCB204,134.189
Middle Malewa,MM-B2,10 July 2016,10,BIP-D10,3.371
Middle Malewa,MM-B2,10 July 2016,10,PCB001,2.232
Middle Malewa,MM-B2,10 July 2016,10,PCB002,4.132
Middle Malewa,MM-B2,10 July 2016,10,PCB003,5.442
Middle Malewa,MM-B2,10 July 2016,10,PCB010,3.75
Middle Malewa,MM-B2,10 July 2016,10,PCB014,18.59
Middle Malewa,MM-B2,10 July 2016,10,PCB030,44.238
Middle Malewa,MM-B2,10 July 2016,10,PCB021,53.133
Middle Malewa,MM-B2,10 July 2016,10,PCB050,88.809
Middle Malewa,MM-B2,10 July 2016,10,PCB055,106.473
Middle Malewa,MM-B2,10 July 2016,10,PCB104,111.309
Middle Malewa,MM-B2,10 July 2016,10,PCB078,116.216
Middle Malewa,MM-B2,10 July 2016,10,PCB145,121.465
Middle Malewa,MM-B2,10 July 2016,10,PCB204,121.331
Middle Malewa,MM-B3,10 July 2016,10,BIP-D10,3.525
Middle Malewa,MM-B3,10 July 2016,10,PCB001,3.086
Middle Malewa,MM-B3,10 July 2016,10,PCB002,4.26
Middle Malewa,MM-B3,10 July 2016,10,PCB003,5.324
Middle Malewa,MM-B3,10 July 2016,10,PCB010,3.577
Middle Malewa,MM-B3,10 July 2016,10,PCB014,18.476
Middle Malewa,MM-B3,10 July 2016,10,PCB030,34.207
Middle Malewa,MM-B3,10 July 2016,10,PCB021,48.832
Middle Malewa,MM-B3,10 July 2016,10,PCB050,89.396
Middle Malewa,MM-B3,10 July 2016,10,PCB055,109.181
Middle Malewa,MM-B3,10 July 2016,10,PCB104,121.429
Middle Malewa,MM-B3,10 July 2016,10,PCB078,123.025
Middle Malewa,MM-B3,10 July 2016,10,PCB145,115.141
Middle Malewa,MM-B3,10 July 2016,10,PCB204,118.288
Middle Malewa,MM-C1,30 June 2016,20,BIP-D10,2.049
Middle Malewa,MM-C1,30 June 2016,20,PCB001,3.357
Middle Malewa,MM-C1,30 June 2016,20,PCB002,3.346
Middle Malewa,MM-C1,30 June 2016,20,PCB003,3.912
Middle Malewa,MM-C1,30 June 2016,20,PCB010,4.297
Middle Malewa,MM-C1,30 June 2016,20,PCB014,5.174
Middle Malewa,MM-C1,30 June 2016,20,PCB030,13.28
Middle Malewa,MM-C1,30 June 2016,20,PCB021,20.437
Middle Malewa,MM-C1,30 June 2016,20,PCB050,68.361
Middle Malewa,MM-C1,30 June 2016,20,PCB055,75.951
Middle Malewa,MM-C1,30 June 2016,20,PCB104,100.454
Middle Malewa,MM-C1,30 June 2016,20,PCB078,92.779
Middle Malewa,MM-C1,30 June 2016,20,PCB145,113.163
Middle Malewa,MM-C1,30 June 2016,20,PCB204,105.819
Middle Malewa,MM-C2,30 June 2016,20,BIP-D10,2.989
Middle Malewa,MM-C2,30 June 2016,20,PCB001,3.029
Middle Malewa,MM-C2,30 June 2016,20,PCB002,3.41
Middle Malewa,MM-C2,30 June 2016,20,PCB003,5.685
Middle Malewa,MM-C2,30 June 2016,20,PCB010,3.85
Middle Malewa,MM-C2,30 June 2016,20,PCB014,4.133
Middle Malewa,MM-C2,30 June 2016,20,PCB030,12.536
Middle Malewa,MM-C2,30 June 2016,20,PCB021,20.671
Middle Malewa,MM-C2,30 June 2016,20,PCB050,70.692
Middle Malewa,MM-C2,30 June 2016,20,PCB055,80.539
Middle Malewa,MM-C2,30 June 2016,20,PCB104,111.452
Middle Malewa,MM-C2,30 June 2016,20,PCB078,100.836
Middle Malewa,MM-C2,30 June 2016,20,PCB145,121.04
Middle Malewa,MM-C2,30 June 2016,20,PCB204,119.067
Middle Malewa,MM-C3,30 June 2016,20,BIP-D10,2.623
Middle Malewa,MM-C3,30 June 2016,20,PCB001,2.556
Middle Malewa,MM-C3,30 June 2016,20,PCB002,2.818
Middle Malewa,MM-C3,30 June 2016,20,PCB003,3.919
Middle Malewa,MM-C3,30 June 2016,20,PCB010,4.797
Middle Malewa,MM-C3,30 June 2016,20,PCB014,4.03
Middle Malewa,MM-C3,30 June 2016,20,PCB030,13.984
Middle Malewa,MM-C3,30 June 2016,20,PCB021,21.867
Middle Malewa,MM-C3,30 June 2016,20,PCB050,63.787
Middle Malewa,MM-C3,30 June 2016,20,PCB055,77.918
Middle Malewa,MM-C3,30 June 2016,20,PCB104,114.623
Middle Malewa,MM-C3,30 June 2016,20,PCB078,107.973
Middle Malewa,MM-C3,30 June 2016,20,PCB145,126.848
Middle Malewa,MM-C3,30 June 2016,20,PCB204,138.137
Middle Malewa,MM-D1,20 June 2016,30,BIP-D10,2.743
Middle Malewa,MM-D1,20 June 2016,30,PCB001,2.871
Middle Malewa,MM-D1,20 June 2016,30,PCB002,2.702
Middle Malewa,MM-D1,20 June 2016,30,PCB003,3.783
Middle Malewa,MM-D1,20 June 2016,30,PCB010,3.007
Middle Malewa,MM-D1,20 June 2016,30,PCB014,2.184
Middle Malewa,MM-D1,20 June 2016,30,PCB030,5.261
Middle Malewa,MM-D1,20 June 2016,30,PCB021,10.207
Middle Malewa,MM-D1,20 June 2016,30,PCB050,46.915
Middle Malewa,MM-D1,20 June 2016,30,PCB055,61.461
Middle Malewa,MM-D1,20 June 2016,30,PCB104,91.134
Middle Malewa,MM-D1,20 June 2016,30,PCB078,83.707
Middle Malewa,MM-D1,20 June 2016,30,PCB145,104.002
Middle Malewa,MM-D1,20 June 2016,30,PCB204,133.644
Middle Malewa,MM-D2,20 June 2016,30,BIP-D10,4.027
Middle Malewa,MM-D2,20 June 2016,30,PCB001,5.091
Middle Malewa,MM-D2,20 June 2016,30,PCB002,2.777
Middle Malewa,MM-D2,20 June 2016,30,PCB003,5.03
Middle Malewa,MM-D2,20 June 2016,30,PCB010,2.688
Middle Malewa,MM-D2,20 June 2016,30,PCB014,2.027
Middle Malewa,MM-D2,20 June 2016,30,PCB030,5.187
Middle Malewa,MM-D2,20 June 2016,30,PCB021,9.578
Middle Malewa,MM-D2,20 June 2016,30,PCB050,45.806
Middle Malewa,MM-D2,20 June 2016,30,PCB055,65.576
Middle Malewa,MM-D2,20 June 2016,30,PCB104,88.007
Middle Malewa,MM-D2,20 June 2016,30,PCB078,88.136
Middle Malewa,MM-D2,20 June 2016,30,PCB145,100.773
Middle Malewa,MM-D2,20 June 2016,30,PCB204,128.155
Middle Malewa,MM-D3,20 June 2016,30,BIP-D10,2.992
Middle Malewa,MM-D3,20 June 2016,30,PCB001,4.213
Middle Malewa,MM-D3,20 June 2016,30,PCB002,2.657
Middle Malewa,MM-D3,20 June 2016,30,PCB003,4.321
Middle Malewa,MM-D3,20 June 2016,30,PCB010,3.67
Middle Malewa,MM-D3,20 June 2016,30,PCB014,2.923
Middle Malewa,MM-D3,20 June 2016,30,PCB030,5.212
Middle Malewa,MM-D3,20 June 2016,30,PCB021,9.917
Middle Malewa,MM-D3,20 June 2016,30,PCB050,45.477
Middle Malewa,MM-D3,20 June 2016,30,PCB055,61.54
Middle Malewa,MM-D3,20 June 2016,30,PCB104,85.079
Middle Malewa,MM-D3,20 June 2016,30,PCB078,79.979
Middle Malewa,MM-D3,20 June 2016,30,PCB145,101.815
Middle Malewa,MM-D3,20 June 2016,30,PCB204,105.837
Lake Naivasha,LN-A1,17 July 2016,3,BIP-D10,16.333
Lake Naivasha,LN-A1,17 July 2016,3,PCB001,64.382
Lake Naivasha,LN-A1,17 July 2016,3,PCB002,84.092
Lake Naivasha,LN-A1,17 July 2016,3,PCB003,83.019
Lake Naivasha,LN-A1,17 July 2016,3,PCB010,98.118
Lake Naivasha,LN-A1,17 July 2016,3,PCB014,102.238
Lake Naivasha,LN-A1,17 July 2016,3,PCB030,112.884
Lake Naivasha,LN-A1,17 July 2016,3,PCB021,115.303
Lake Naivasha,LN-A1,17 July 2016,3,PCB050,125.899
Lake Naivasha,LN-A1,17 July 2016,3,PCB055,132.679
Lake Naivasha,LN-A1,17 July 2016,3,PCB104,115.61
Lake Naivasha,LN-A1,17 July 2016,3,PCB078,130.431
Lake Naivasha,LN-A1,17 July 2016,3,PCB145,115.002
Lake Naivasha,LN-A1,17 July 2016,3,PCB204,133.123
Lake Naivasha,LN-A2,17 July 2016,3,BIP-D10,16.878
Lake Naivasha,LN-A2,17 July 2016,3,PCB001,60.935
Lake Naivasha,LN-A2,17 July 2016,3,PCB002,88.389
Lake Naivasha,LN-A2,17 July 2016,3,PCB003,79.877
Lake Naivasha,LN-A2,17 July 2016,3,PCB010,98.069
Lake Naivasha,LN-A2,17 July 2016,3,PCB014,103.034
Lake Naivasha,LN-A2,17 July 2016,3,PCB030,118.682
Lake Naivasha,LN-A2,17 July 2016,3,PCB021,129.041
Lake Naivasha,LN-A2,17 July 2016,3,PCB050,123.341
Lake Naivasha,LN-A2,17 July 2016,3,PCB055,125.452
Lake Naivasha,LN-A2,17 July 2016,3,PCB104,130.505
Lake Naivasha,LN-A2,17 July 2016,3,PCB078,116.074
Lake Naivasha,LN-A2,17 July 2016,3,PCB145,118.484
Lake Naivasha,LN-A2,17 July 2016,3,PCB204,118.507
Lake Naivasha,LN-A3,17 July 2016,3,BIP-D10,17.082
Lake Naivasha,LN-A3,17 July 2016,3,PCB001,65.454
Lake Naivasha,LN-A3,17 July 2016,3,PCB002,88.477
Lake Naivasha,LN-A3,17 July 2016,3,PCB003,80.521
Lake Naivasha,LN-A3,17 July 2016,3,PCB010,93.674
Lake Naivasha,LN-A3,17 July 2016,3,PCB014,102.972
Lake Naivasha,LN-A3,17 July 2016,3,PCB030,120.444
Lake Naivasha,LN-A3,17 July 2016,3,PCB021,130.235
Lake Naivasha,LN-A3,17 July 2016,3,PCB050,126.338
Lake Naivasha,LN-A3,17 July 2016,3,PCB055,125.067
Lake Naivasha,LN-A3,17 July 2016,3,PCB104,128.621
Lake Naivasha,LN-A3,17 July 2016,3,PCB078,110.169
Lake Naivasha,LN-A3,17 July 2016,3,PCB145,121.649
Lake Naivasha,LN-A3,17 July 2016,3,PCB204,122.414
Lake Naivasha,LN-B1,10 July 2016,10,BIP-D10,3.194
Lake Naivasha,LN-B1,10 July 2016,10,PCB001,15.934
Lake Naivasha,LN-B1,10 July 2016,10,PCB002,35.024
Lake Naivasha,LN-B1,10 July 2016,10,PCB003,32.674
Lake Naivasha,LN-B1,10 July 2016,10,PCB010,63.562
Lake Naivasha,LN-B1,10 July 2016,10,PCB014,100.88
Lake Naivasha,LN-B1,10 July 2016,10,PCB030,94.717
Lake Naivasha,LN-B1,10 July 2016,10,PCB021,97.319
Lake Naivasha,LN-B1,10 July 2016,10,PCB050,116.77
Lake Naivasha,LN-B1,10 July 2016,10,PCB055,140.388
Lake Naivasha,LN-B1,10 July 2016,10,PCB104,115.066
Lake Naivasha,LN-B1,10 July 2016,10,PCB078,109.954
Lake Naivasha,LN-B1,10 July 2016,10,PCB145,113.013
Lake Naivasha,LN-B1,10 July 2016,10,PCB204,123.323
Lake Naivasha,LN-B2,10 July 2016,10,BIP-D10,3.75
Lake Naivasha,LN-B2,10 July 2016,10,PCB001,16.506
Lake Naivasha,LN-B2,10 July 2016,10,PCB002,40.603
Lake Naivasha,LN-B2,10 July 2016,10,PCB003,32.823
Lake Naivasha,LN-B2,10 July 2016,10,PCB010,56.444
Lake Naivasha,LN-B2,10 July 2016,10,PCB014,83.761
Lake Naivasha,LN-B2,10 July 2016,10,PCB030,108.16
Lake Naivasha,LN-B2,10 July 2016,10,PCB021,94.067
Lake Naivasha,LN-B2,10 July 2016,10,PCB050,110.271
Lake Naivasha,LN-B2,10 July 2016,10,PCB055,128.168
Lake Naivasha,LN-B2,10 July 2016,10,PCB104,119.581
Lake Naivasha,LN-B2,10 July 2016,10,PCB078,130.273
Lake Naivasha,LN-B2,10 July 2016,10,PCB145,129.591
Lake Naivasha,LN-B2,10 July 2016,10,PCB204,121.32
Lake Naivasha,LN-B3,10 July 2016,10,BIP-D10,1.917
Lake Naivasha,LN-B3,10 July 2016,10,PCB001,16.822
Lake Naivasha,LN-B3,10 July 2016,10,PCB002,37.767
Lake Naivasha,LN-B3,10 July 2016,10,PCB003,34.669
Lake Naivasha,LN-B3,10 July 2016,10,PCB010,55.617
Lake Naivasha,LN-B3,10 July 2016,10,PCB014,92.644
Lake Naivasha,LN-B3,10 July 2016,10,PCB030,102.293
Lake Naivasha,LN-B3,10 July 2016,10,PCB021,117.834
Lake Naivasha,LN-B3,10 July 2016,10,PCB050,121.025
Lake Naivasha,LN-B3,10 July 2016,10,PCB055,121.018
Lake Naivasha,LN-B3,10 July 2016,10,PCB104,122.59
Lake Naivasha,LN-B3,10 July 2016,10,PCB078,116.693
Lake Naivasha,LN-B3,10 July 2016,10,PCB145,115.341
Lake Naivasha,LN-B3,10 July 2016,10,PCB204,134.333
Lake Naivasha,LN-C1,30 June 2016,20,BIP-D10,3.78
Lake Naivasha,LN-C1,30 June 2016,20,PCB001,4.074
Lake Naivasha,LN-C1,30 June 2016,20,PCB002,13.101
Lake Naivasha,LN-C1,30 June 2016,20,PCB003,12.914
Lake Naivasha,LN-C1,30 June 2016,20,PCB010,25.076
Lake Naivasha,LN-C1,30 June 2016,20,PCB014,73.65
Lake Naivasha,LN-C1,30 June 2016,20,PCB030,80.324
Lake Naivasha,LN-C1,30 June 2016,20,PCB021,86.488
Lake Naivasha,LN-C1,30 June 2016,20,PCB050,103.635
Lake Naivasha,LN-C1,30 June 2016,20,PCB055,109.982
