site,sampler_id,deployed,deployment_days,compound,mass_ng
Upper Malewa,UM-C1,30 June 2016,20,gamma-HCH,6.8819
Upper Malewa,UM-C1,30 June 2016,20,beta-HCH,4.811
Upper Malewa,UM-C1,30 June 2016,20,alpha-HCH,11.1603
Upper Malewa,UM-C1,30 June 2016,20,alpha-endosulfan,55.9439
Upper Malewa,UM-C1,30 June 2016,20,heptachlor epoxide,12.3891
Upper Malewa,UM-C1,30 June 2016,20,methoxychlor,33.7943
Upper Malewa,UM-C1,30 June 2016,20,endrin,14.9264
Upper Malewa,UM-C1,30 June 2016,20,dieldrin,33.7903
Upper Malewa,UM-C1,30 June 2016,20,pp-DDD,32.1952
Upper Malewa,UM-C1,30 June 2016,20,heptachlor,16.4956
Upper Malewa,UM-C1,30 June 2016,20,aldrin,13.6626
Upper Malewa,UM-C1,30 June 2016,20,pp-DDE,48.0974
Upper Malewa,UM-C1,30 June 2016,20,pp-DDT,24.4606
Upper Malewa,UM-C1,30 June 2016,20,HCB,25.1018
Upper Malewa,UM-C1,30 June 2016,20,cis-chlordane,16.7464
Upper Malewa,UM-C1,30 June 2016,20,trans-chlordane,20.0965
Upper Malewa,UM-C1,30 June 2016,20,trans-nonachlor,13.7332
Upper Malewa,UM-C1,30 June 2016,20,mirex,4.8316
Upper Malewa,UM-C2,30 June 2016,20,endosulfan sulfate,7.9099
Upper Malewa,UM-C2,30 June 2016,20,gamma-HCH,6.6725
Upper Malewa,UM-C2,30 June 2016,20,beta-HCH,4.544
Upper Malewa,UM-C2,30 June 2016,20,alpha-HCH,10.9686
Upper Malewa,UM-C2,30 June 2016,20,alpha-endosulfan,54.77
Upper Malewa,UM-C2,30 June 2016,20,heptachlor epoxide,11.8595
Upper Malewa,UM-C2,30 June 2016,20,methoxychlor,35.4791
Upper Malewa,UM-C2,30 June 2016,20,endrin,12.331
Upper Malewa,UM-C2,30 June 2016,20,dieldrin,31.6378
Upper Malewa,UM-C2,30 June 2016,20,pp-DDD,28.4027
Upper Malewa,UM-C2,30 June 2016,20,heptachlor,17.587
Upper Malewa,UM-C2,30 June 2016,20,aldrin,12.7288
Upper Malewa,UM-C2,30 June 2016,20,pp-DDE,52.7704
Upper Malewa,UM-C2,30 June 2016,20,pp-DDT,23.5525
Upper Malewa,UM-C2,30 June 2016,20,HCB,22.8405
Upper Malewa,UM-C2,30 June 2016,20,cis-chlordane,16.7075
Upper Malewa,UM-C2,30 June 2016,20,trans-chlordane,22.6362
Upper Malewa,UM-C2,30 June 2016,20,trans-nonachlor,11.8057
Upper Malewa,UM-C2,30 June 2016,20,mirex,5.3003
Upper Malewa,UM-C3,30 June 2016,20,endosulfan sulfate,7.7558
Upper Malewa,UM-C3,30 June 2016,20,gamma-HCH,7.1726
Upper Malewa,UM-C3,30 June 2016,20,beta-HCH,4.3421
Upper Malewa,UM-C3,30 June 2016,20,alpha-HCH,10.4235
Upper Malewa,UM-C3,30 June 2016,20,alpha-endosulfan,54.2528
Upper Malewa,UM-C3,30 June 2016,20,heptachlor epoxide,13.2333
Upper Malewa,UM-C3,30 June 2016,20,methoxychlor,35.0403
Upper Malewa,UM-C3,30 June 2016,20,endrin,13.9531
Upper Malewa,UM-C3,30 June 2016,20,dieldrin,36.6558
Upper Malewa,UM-C3,30 June 2016,20,pp-DDD,32.651
Upper Malewa,UM-C3,30 June 2016,20,heptachlor,18.1146
Upper Malewa,UM-C3,30 June 2016,20,aldrin,12.0527
Upper Malewa,UM-C3,30 June 2016,20,pp-DDE,54.7433
Upper Malewa,UM-C3,30 June 2016,20,pp-DDT,24.0306
Upper Malewa,UM-C3,30 June 2016,20,HCB,25.6627
Upper Malewa,UM-C3,30 June 2016,20,cis-chlordane,18.1317
Upper Malewa,UM-C3,30 June 2016,20,trans-chlordane,18.7018
Upper Malewa,UM-C3,30 June 2016,20,trans-nonachlor,12.442
Upper Malewa,UM-C3,30 June 2016,20,mirex,5.8649
Upper Malewa,UM-D1,20 June 2016,30,endosulfan sulfate,7.5927
Upper Malewa,UM-D1,20 June 2016,30,gamma-HCH,6.5093
Upper Malewa,UM-D1,20 June 2016,30,beta-HCH,4.6814
Upper Malewa,UM-D1,20 June 2016,30,alpha-HCH,10.6169
Upper Malewa,UM-D1,20 June 2016,30,alpha-endosulfan,50.077
Upper Malewa,UM-D1,20 June 2016,30,heptachlor epoxide,13.3014
Upper Malewa,UM-D1,20 June 2016,30,methoxychlor,35.1342
Upper Malewa,UM-D1,20 June 2016,30,endrin,15.3712
Upper Malewa,UM-D1,20 June 2016,30,dieldrin,46.753
Upper Malewa,UM-D1,20 June 2016,30,pp-DDD,53.038
Upper Malewa,UM-D1,20 June 2016,30,heptachlor,29.623
Upper Malewa,UM-D1,20 June 2016,30,aldrin,23.2541
Upper Malewa,UM-D1,20 June 2016,30,pp-DDE,86.0781
Upper Malewa,UM-D1,20 June 2016,30,pp-DDT,46.5345
Upper Malewa,UM-D1,20 June 2016,30,HCB,36.7899
Upper Malewa,UM-D1,20 June 2016,30,cis-chlordane,27.0011
Upper Malewa,UM-D1,20 June 2016,30,trans-chlordane,33.2327
Upper Malewa,UM-D1,20 June 2016,30,trans-nonachlor,22.662
Upper Malewa,UM-D1,20 June 2016,30,mirex,8.8027
Upper Malewa,UM-D2,20 June 2016,30,endosulfan sulfate,7.8207
Upper Malewa,UM-D2,20 June 2016,30,gamma-HCH,7.1228
Upper Malewa,UM-D2,20 June 2016,30,beta-HCH,4.6148
Upper Malewa,UM-D2,20 June 2016,30,alpha-HCH,11.8162
Upper Malewa,UM-D2,20 June 2016,30,alpha-endosulfan,53.2951
Upper Malewa,UM-D2,20 June 2016,30,heptachlor epoxide,15.4447
Upper Malewa,UM-D2,20 June 2016,30,methoxychlor,42.1615
Upper Malewa,UM-D2,20 June 2016,30,endrin,16.2331
Upper Malewa,UM-D2,20 June 2016,30,dieldrin,39.5009
Upper Malewa,UM-D2,20 June 2016,30,pp-DDD,51.6867
Upper Malewa,UM-D2,20 June 2016,30,heptachlor,28.5693
Upper Malewa,UM-D2,20 June 2016,30,aldrin,21.8515
Upper Malewa,UM-D2,20 June 2016,30,pp-DDE,80.3416
Upper Malewa,UM-D2,20 June 2016,30,pp-DDT,44.9873
Upper Malewa,UM-D2,20 June 2016,30,HCB,40.0676
Upper Malewa,UM-D2,20 June 2016,30,cis-chlordane,25.9378
Upper Malewa,UM-D2,20 June 2016,30,trans-chlordane,32.6344
Upper Malewa,UM-D2,20 June 2016,30,trans-nonachlor,20.2997
Upper Malewa,UM-D2,20 June 2016,30,mirex,8.2028
Upper Malewa,UM-D3,20 June 2016,30,endosulfan sulfate,7.4884
Upper Malewa,UM-D3,20 June 2016,30,gamma-HCH,6.9194
Upper Malewa,UM-D3,20 June 2016,30,beta-HCH,4.7242
Upper Malewa,UM-D3,20 June 2016,30,alpha-HCH,12.1721
Upper Malewa,UM-D3,20 June 2016,30,alpha-endosulfan,45.3858
Upper Malewa,UM-D3,20 June 2016,30,heptachlor epoxide,14.4978
Upper Malewa,UM-D3,20 June 2016,30,methoxychlor,38.6138
Upper Malewa,UM-D3,20 June 2016,30,endrin,15.2703
Upper Malewa,UM-D3,20 June 2016,30,dieldrin,50.3069
Upper Malewa,UM-D3,20 June 2016,30,pp-DDD,55.1639
Upper Malewa,UM-D3,20 June 2016,30,heptachlor,31.7397
Upper Malewa,UM-D3,20 June 2016,30,aldrin,22.925
Upper Malewa,UM-D3,20 June 2016,30,pp-DDE,86.6775
Upper Malewa,UM-D3,20 June 2016,30,pp-DDT,47.6841
Upper Malewa,UM-D3,20 June 2016,30,HCB,34.3577
Upper Malewa,UM-D3,20 June 2016,30,cis-chlordane,28.566
Upper Malewa,UM-D3,20 June 2016,30,trans-chlordane,34.958
Upper Malewa,UM-D3,20 June 2016,30,trans-nonachlor,22.6184
Upper Malewa,UM-D3,20 June 2016,30,mirex,9.1705
Middle Malewa,MM-A1,17 July 2016,3,endosulfan sulfate,11.8712
Middle Malewa,MM-A1,17 July 2016,3,gamma-HCH,11.0502
Middle Malewa,MM-A1,17 July 2016,3,beta-HCH,3.4943
Middle Malewa,MM-A1,17 July 2016,3,alpha-HCH,9.7918
Middle Malewa,MM-A1,17 July 2016,3,alpha-endosulfan,80.5879
Middle Malewa,MM-A1,17 July 2016,3,heptachlor epoxide,7.1338
Middle Malewa,MM-A1,17 July 2016,3,methoxychlor,34.0432
Middle Malewa,MM-A1,17 July 2016,3,endrin,5.6048
Middle Malewa,MM-A1,17 July 2016,3,dieldrin,16.207
Middle Malewa,MM-A1,17 July 2016,3,pp-DDD,9.1715
Middle Malewa,MM-A1,17 July 2016,3,heptachlor,6.2182
Middle Malewa,MM-A1,17 July 2016,3,aldrin,5.7013
Middle Malewa,MM-A1,17 July 2016,3,pp-DDE,10.5543
Middle Malewa,MM-A1,17 July 2016,3,pp-DDT,8.7043
Middle Malewa,MM-A1,17 July 2016,3,HCB,7.4471
Middle Malewa,MM-A1,17 July 2016,3,cis-chlordane,5.3428
Middle Malewa,MM-A1,17 July 2016,3,trans-chlordane,6.0504
Middle Malewa,MM-A1,17 July 2016,3,trans-nonachlor,4.3592
Middle Malewa,MM-A1,17 July 2016,3,mirex,2.0132
Middle Malewa,MM-A2,17 July 2016,3,endosulfan sulfate,14.4127
Middle Malewa,MM-A2,17 July 2016,3,gamma-HCH,9.411
Middle Malewa,MM-A2,17 July 2016,3,beta-HCH,3.5127
Middle Malewa,MM-A2,17 July 2016,3,alpha-HCH,9.0646
Middle Malewa,MM-A2,17 July 2016,3,alpha-endosulfan,74.4339
Middle Malewa,MM-A2,17 July 2016,3,heptachlor epoxide,8.2237
Middle Malewa,MM-A2,17 July 2016,3,methoxychlor,34.6594
Middle Malewa,MM-A2,17 July 2016,3,endrin,5.4745
Middle Malewa,MM-A2,17 July 2016,3,dieldrin,16.1598
Middle Malewa,MM-A2,17 July 2016,3,pp-DDD,8.5669
Middle Malewa,MM-A2,17 July 2016,3,heptachlor,5.9861
Middle Malewa,MM-A2,17 July 2016,3,aldrin,5.8481
Middle Malewa,MM-A2,17 July 2016,3,pp-DDE,11.0961
Middle Malewa,MM-A2,17 July 2016,3,pp-DDT,8.5882
Middle Malewa,MM-A2,17 July 2016,3,HCB,7.8815
Middle Malewa,MM-A2,17 July 2016,3,cis-chlordane,5.2773
Middle Malewa,MM-A2,17 July 2016,3,trans-chlordane,6.9454
Middle Malewa,MM-A2,17 July 2016,3,trans-nonachlor,4.9716
Middle Malewa,MM-A2,17 July 2016,3,mirex,2.0265
Middle Malewa,MM-A3,17 July 2016,3,endosulfan sulfate,11.4474
Middle Malewa,MM-A3,17 July 2016,3,gamma-HCH,9.8334
Middle Malewa,MM-A3,17 July 2016,3,beta-HCH,3.484
Middle Malewa,MM-A3,17 July 2016,3,alpha-HCH,9.8644
Middle Malewa,MM-A3,17 July 2016,3,alpha-endosulfan,64.4728
Middle Malewa,MM-A3,17 July 2016,3,heptachlor epoxide,7.882
Middle Malewa,MM-A3,17 July 2016,3,methoxychlor,35.9536
Middle Malewa,MM-A3,17 July 2016,3,endrin,5.6899
Middle Malewa,MM-A3,17 July 2016,3,dieldrin,16.3151
Middle Malewa,MM-A3,17 July 2016,3,pp-DDD,9.0616
Middle Malewa,MM-A3,17 July 2016,3,heptachlor,5.7881
Middle Malewa,MM-A3,17 July 2016,3,aldrin,4.9656
Middle Malewa,MM-A3,17 July 2016,3,pp-DDE,10.7342
Middle Malewa,MM-A3,17 July 2016,3,pp-DDT,8.3846
Middle Malewa,MM-A3,17 July 2016,3,HCB,9.4667
Middle Malewa,MM-A3,17 July 2016,3,cis-chlordane,5.9585
Middle Malewa,MM-A3,17 July 2016,3,trans-chlordane,6.6923
Middle Malewa,MM-A3,17 July 2016,3,trans-nonachlor,4.7049
Middle Malewa,MM-A3,17 July 2016,3,mirex,2.2019
Middle Malewa,MM-B1,10 July 2016,10,endosulfan sulfate,13.5557
Middle Malewa,MM-B1,10 July 2016,10,gamma-HCH,9.8602
Middle Malewa,MM-B1,10 July 2016,10,beta-HCH,3.4246
Middle Malewa,MM-B1,10 July 2016,10,alpha-HCH,10.2445
Middle Malewa,MM-B1,10 July 2016,10,alpha-endosulfan,78.2811
Middle Malewa,MM-B1,10 July 2016,10,heptachlor epoxide,15.3037
Middle Malewa,MM-B1,10 July 2016,10,methoxychlor,72.1149
Middle Malewa,MM-B1,10 July 2016,10,endrin,11.6428
Middle Malewa,MM-B1,10 July 2016,10,dieldrin,45.8814
Middle Malewa,MM-B1,10 July 2016,10,pp-DDD,31.3727
Middle Malewa,MM-B1,10 July 2016,10,heptachlor,22.3688
Middle Malewa,MM-B1,10 July 2016,10,aldrin,21.3652
Middle Malewa,MM-B1,10 July 2016,10,pp-DDE,36.4573
Middle Malewa,MM-B1,10 July 2016,10,pp-DDT,30.8962
Middle Malewa,MM-B1,10 July 2016,10,HCB,26.755
Middle Malewa,MM-B1,10 July 2016,10,cis-chlordane,17.2105
Middle Malewa,MM-B1,10 July 2016,10,trans-chlordane,26.0613
Middle Malewa,MM-B1,10 July 2016,10,trans-nonachlor,13.9929
Middle Malewa,MM-B1,10 July 2016,10,mirex,7.1005
Middle Malewa,MM-B2,10 July 2016,10,endosulfan sulfate,11.4879
Middle Malewa,MM-B2,10 July 2016,10,gamma-HCH,10.6241
Middle Malewa,MM-B2,10 July 2016,10,beta-HCH,3.8293
Middle Malewa,MM-B2,10 July 2016,10,alpha-HCH,10.422
Middle Malewa,MM-B2,10 July 2016,10,alpha-endosulfan,87.4989
Middle Malewa,MM-B2,10 July 2016,10,heptachlor epoxide,13.0353
Middle Malewa,MM-B2,10 July 2016,10,methoxychlor,67.1694
Middle Malewa,MM-B2,10 July 2016,10,endrin,12.3641
Middle Malewa,MM-B2,10 July 2016,10,dieldrin,46.0601
Middle Malewa,MM-B2,10 July 2016,10,pp-DDD,26.4204
Middle Malewa,MM-B2,10 July 2016,10,heptachlor,21.7377
Middle Malewa,MM-B2,10 July 2016,10,aldrin,19.8495
Middle Malewa,MM-B2,10 July 2016,10,pp-DDE,42.372
Middle Malewa,MM-B2,10 July 2016,10,pp-DDT,35.1044
Middle Malewa,MM-B2,10 July 2016,10,HCB,25.2191
Middle Malewa,MM-B2,10 July 2016,10,cis-chlordane,18.6476
Middle Malewa,MM-B2,10 July 2016,10,trans-chlordane,24.3888
Middle Malewa,MM-B2,10 July 2016,10,trans-nonachlor,15.6807
Middle Malewa,MM-B2,10 July 2016,10,mirex,7.0554
Middle Malewa,MM-B3,10 July 2016,10,endosulfan sulfate,11.0878
Middle Malewa,MM-B3,10 July 2016,10,gamma-HCH,10.4639
Middle Malewa,MM-B3,10 July 2016,10,beta-HCH,3.5895
Middle Malewa,MM-B3,10 July 2016,10,alpha-HCH,10.2978
Middle Malewa,MM-B3,10 July 2016,10,alpha-endosulfan,88.3835
Middle Malewa,MM-B3,10 July 2016,10,heptachlor epoxide,12.667
Middle Malewa,MM-B3,10 July 2016,10,methoxychlor,74.0758
Middle Malewa,MM-B3,10 July 2016,10,endrin,11.6677
Middle Malewa,MM-B3,10 July 2016,10,dieldrin,49.6232
Middle Malewa,MM-B3,10 July 2016,10,pp-DDD,35.4708
Middle Malewa,MM-B3,10 July 2016,10,heptachlor,23.2973
Middle Malewa,MM-B3,10 July 2016,10,aldrin,18.4253
Middle Malewa,MM-B3,10 July 2016,10,pp-DDE,41.9592
Middle Malewa,MM-B3,10 July 2016,10,pp-DDT,33.5865
Middle Malewa,MM-B3,10 July 2016,10,HCB,23.0648
Middle Malewa,MM-B3,10 July 2016,10,cis-chlordane,19.7048
Middle Malewa,MM-B3,10 July 2016,10,trans-chlordane,21.3216
Middle Malewa,MM-B3,10 July 2016,10,trans-nonachlor,16.151
Middle Malewa,MM-B3,10 July 2016,10,mirex,6.5044
Middle Malewa,MM-C1,30 June 2016,20,endosulfan sulfate,12.1982
Middle Malewa,MM-C1,30 June 2016,20,gamma-HCH,10.5801
Middle Malewa,MM-C1,30 June 2016,20,beta-HCH,3.8888
Middle Malewa,MM-C1,30 June 2016,20,alpha-HCH,10.058
Middle Malewa,MM-C1,30 June 2016,20,alpha-endosulfan,93.7636
Middle Malewa,MM-C1,30 June 2016,20,heptachlor epoxide,13.9033
Middle Malewa,MM-C1,30 June 2016,20,methoxychlor,73.3243
Middle Malewa,MM-C1,30 June 2016,20,endrin,16.0667
Middle Malewa,MM-C1,30 June 2016,20,dieldrin,80.9255
Middle Malewa,MM-C1,30 June 2016,20,pp-DDD,70.2677
Middle Malewa,MM-C1,30 June 2016,20,heptachlor,53.3199
Middle Malewa,MM-C1,30 June 2016,20,aldrin,50.5905
Middle Malewa,MM-C1,30 June 2016,20,pp-DDE,105.0122
Middle Malewa,MM-C1,30 June 2016,20,pp-DDT,89.71
Middle Malewa,MM-C1,30 June 2016,20,HCB,46.9405
Middle Malewa,MM-C1,30 June 2016,20,cis-chlordane,51.8869
Middle Malewa,MM-C1,30 June 2016,20,trans-chlordane,55.1833
Middle Malewa,MM-C1,30 June 2016,20,trans-nonachlor,38.6151
Middle Malewa,MM-C1,30 June 2016,20,mirex,17.5518
Middle Malewa,MM-C2,30 June 2016,20,endosulfan sulfate,10.6014
Middle Malewa,MM-C2,30 June 2016,20,gamma-HCH,8.8073
Middle Malewa,MM-C2,30 June 2016,20,beta-HCH,3.5786
Middle Malewa,MM-C2,30 June 2016,20,alpha-HCH,10.1705
Middle Malewa,MM-C2,30 June 2016,20,alpha-endosulfan,92.0651
Middle Malewa,MM-C2,30 June 2016,20,heptachlor epoxide,14.6894
Middle Malewa,MM-C2,30 June 2016,20,methoxychlor,72.048
Middle Malewa,MM-C2,30 June 2016,20,endrin,15.0577
Middle Malewa,MM-C2,30 June 2016,20,dieldrin,70.6428
Middle Malewa,MM-C2,30 June 2016,20,pp-DDD,73.57
Middle Malewa,MM-C2,30 June 2016,20,heptachlor,48.0147
Middle Malewa,MM-C2,30 June 2016,20,aldrin,47.1406
Middle Malewa,MM-C2,30 June 2016,20,pp-DDE,105.2374
Middle Malewa,MM-C2,30 June 2016,20,pp-DDT,90.3828
Middle Malewa,MM-C2,30 June 2016,20,HCB,50.769
Middle Malewa,MM-C2,30 June 2016,20,cis-chlordane,52.5293
Middle Malewa,MM-C2,30 June 2016,20,trans-chlordane,54.3441
Middle Malewa,MM-C2,30 June 2016,20,trans-nonachlor,42.1395
Middle Malewa,MM-C2,30 June 2016,20,mirex,19.1466
Middle Malewa,MM-C3,30 June 2016,20,endosulfan sulfate,12.5865
Middle Malewa,MM-C3,30 June 2016,20,gamma-HCH,9.7308
Middle Malewa,MM-C3,30 June 2016,20,beta-HCH,3.2256
Middle Malewa,MM-C3,30 June 2016,20,alpha-HCH,8.7627
Middle Malewa,MM-C3,30 June 2016,20,alpha-endosulfan,105.2998
Middle Malewa,MM-C3,30 June 2016,20,heptachlor epoxide,15.1715
Middle Malewa,MM-C3,30 June 2016,20,methoxychlor,81.4273
Middle Malewa,MM-C3,30 June 2016,20,endrin,15.6885
Middle Malewa,MM-C3,30 June 2016,20,dieldrin,73.603
Middle Malewa,MM-C3,30 June 2016,20,pp-DDD,66.4641
Middle Malewa,MM-C3,30 June 2016,20,heptachlor,52.8661
Middle Malewa,MM-C3,30 June 2016,20,aldrin,49.0731
Middle Malewa,MM-C3,30 June 2016,20,pp-DDE,100.2405
Middle Malewa,MM-C3,30 June 2016,20,pp-DDT,91.9393
Middle Malewa,MM-C3,30 June 2016,20,HCB,53.7654
Middle Malewa,MM-C3,30 June 2016,20,cis-chlordane,51.9752
Middle Malewa,MM-C3,30 June 2016,20,trans-chlordane,62.3882
Middle Malewa,MM-C3,30 June 2016,20,trans-nonachlor,43.7933
